,retweeted,favorited,statuses_count,followers_count,friends_count,favourites_count,protected,verified,notifications,class
0,0,0,111881,11413,0,21,0,0,0,1
1,0,0,3133,593,180,40,0,0,0,1
2,0,0,598,7,27,129,0,0,0,1
3,0,0,3125,1262,1625,4,0,0,0,1
4,0,0,40644,341,1,0,0,0,0,1
5,0,0,144465,227190,92475,138847,0,0,0,1
6,0,0,3,138,1510,0,0,0,0,1
7,0,0,2,76,1316,0,0,0,0,1
8,0,0,2497630,11519,134,2667,0,0,0,1
9,0,0,61654,362,646,2181,0,0,0,1
10,0,0,215,2080,3338,0,0,0,0,1
11,0,0,229924,2,1,11105,0,0,0,1
12,0,0,291804,4978,5460,239002,0,0,0,1
13,0,0,277,59,1297,1301,0,0,0,1
14,0,0,12,3,54,69,0,0,0,1
15,0,0,44846,133876,136625,17215,0,0,0,1
16,0,0,54,0,0,0,0,0,0,1
17,0,0,4,34,0,1273,0,0,0,1
18,0,0,65,34,0,369,0,0,0,1
19,0,0,158976,37282,31736,127430,0,0,0,1
20,0,0,148124,118415,54392,77840,0,0,0,1
21,0,0,234796,254478,221497,6507,0,0,0,1
22,0,0,28,10,146,104,0,0,0,1
23,0,0,630,16,145,1,0,0,0,1
24,0,0,12736,240,65,7646,0,0,0,1
25,0,0,3853,960,1834,2095,0,0,0,1
26,0,0,64437,17809,1,0,0,0,0,1
27,0,0,49580,757,14,9744,0,0,0,1
28,0,0,123243,4259,4209,87597,0,0,0,1
29,0,0,630627,6118,7153,441108,0,0,0,1
30,0,0,1768111,24696,10150,0,0,0,0,1
31,0,0,186222,136159,82426,251586,0,0,0,1
32,0,0,14431,167,129,2119,0,0,0,1
33,0,0,32104,181,319,5,0,0,0,1
34,0,0,23,342,0,7,0,0,0,1
35,0,0,3,832,4423,0,0,0,0,1
36,0,0,65127,3582,2209,1599,0,0,0,1
37,0,0,7532,73,4,11,0,0,0,1
38,0,0,82681,337288,5,8,0,0,0,1
39,0,0,12990,1117,4604,8281,0,0,0,1
40,0,0,122,1607,2862,220,0,0,0,1
41,0,0,18952,14085,11049,21220,0,0,0,1
42,0,0,125244,20523,18143,129294,0,0,0,1
43,0,0,50,48,131,1468,0,0,0,1
44,0,0,464,450,1944,380,0,0,0,1
45,0,0,10,7,0,137,0,0,0,1
46,0,0,56205,8557,9535,237,0,0,0,1
47,0,0,560562,8,0,0,0,0,0,1
48,0,0,170717,20936,9514,175115,0,0,0,1
49,0,0,47294,2,1,0,0,0,0,1
50,0,0,77807,44,1,21,0,0,0,1
51,0,0,51767,11319,356,93031,0,0,0,1
52,0,0,31661,28048,24422,27506,0,0,0,1
53,0,0,140302,6236,6304,10915,0,0,0,1
54,0,0,563,1810,0,0,0,0,0,1
55,0,0,1855,415,131,94417,0,0,0,1
56,0,0,159825,23368,6645,147557,0,0,0,1
57,0,0,15104,14748,9056,19264,0,0,0,1
58,0,0,95,27950,0,0,0,0,0,1
59,0,0,26,17,17,0,0,0,0,1
60,0,0,38389,39387,12957,161767,0,0,0,1
61,0,0,60444,29088,10518,64658,0,0,0,1
62,0,0,11,39,2105,21,0,0,0,1
63,0,0,38434,30586,10594,63916,0,0,0,1
64,0,0,37905,23031,14173,66964,0,0,0,1
65,0,0,44561,39435,29990,73958,0,0,0,1
66,0,0,31963,16273,8389,85113,0,0,0,1
67,0,0,37827,19883,18453,196831,0,0,0,1
